date,open,close,high,low,volume,code
2017-02-14 11:30,6.0,6.02,6.03,5.99,18350.0,511
2017-02-14 13:30,6.02,5.99,6.03,5.98,20087.0,511
2017-02-14 14:00,5.99,5.99,6.0,5.98,16068.0,511
2017-02-14 14:30,5.99,6.07,6.08,5.99,48111.0,511
2017-02-14 15:00,6.06,6.05,6.07,6.04,46953.0,511
2017-02-15 10:00,6.05,5.95,6.07,5.91,136621.0,511
2017-02-15 10:30,5.96,5.92,5.96,5.91,45695.0,511
2017-02-15 11:00,5.92,5.92,5.94,5.91,28144.0,511
2017-02-15 11:30,5.93,5.94,5.94,5.92,22907.0,511
2017-02-15 13:30,5.94,5.93,5.96,5.92,22285.0,511
2017-02-15 14:00,5.93,5.94,5.95,5.92,16719.0,511
2017-02-15 14:30,5.94,5.92,5.95,5.91,25400.0,511
2017-02-15 15:00,5.92,5.89,5.92,5.85,74175.0,511
2017-02-16 10:00,5.87,5.95,5.96,5.87,58479.0,511
2017-02-16 10:30,5.95,6.13,6.18,5.93,396329.0,511
2017-02-16 11:00,6.13,6.08,6.15,6.08,82179.0,511
2017-02-16 11:30,6.09,6.1,6.11,6.08,27056.0,511
2017-02-16 13:30,6.1,6.16,6.17,6.1,64665.0,511
2017-02-16 14:00,6.16,6.16,6.17,6.13,38108.0,511
2017-02-16 14:30,6.15,6.16,6.17,6.14,47104.0,511
2017-02-16 15:00,6.16,6.18,6.18,6.16,107386.0,511
2017-02-17 10:00,6.17,6.12,6.18,6.1,133067.0,511
2017-02-17 10:30,6.12,6.11,6.14,6.05,95972.0,511
2017-02-17 11:00,6.11,6.07,6.11,6.05,55279.0,511
2017-02-17 11:30,6.07,6.08,6.1,6.05,30844.0,511
2017-02-17 13:30,6.08,6.08,6.09,6.06,22668.0,511
2017-02-17 14:00,6.09,6.1,6.1,6.06,26647.0,511
2017-02-17 14:30,6.1,6.09,6.11,6.09,18449.0,511
2017-02-17 15:00,6.1,6.08,6.1,6.06,56694.0,511
2017-02-20 10:00,6.11,6.18,6.35,6.11,187900.0,511
2017-02-20 10:30,6.18,6.17,6.22,6.15,40675.0,511
2017-02-20 11:00,6.17,6.09,6.18,6.04,80880.0,511
2017-02-20 11:30,6.09,6.09,6.1,6.07,43651.0,511
2017-02-20 13:30,6.09,6.09,6.13,6.09,17289.0,511
2017-02-20 14:00,6.09,6.1,6.1,6.07,18992.0,511
2017-02-20 14:30,6.09,6.08,6.1,6.06,39265.0,511
2017-02-20 15:00,6.08,6.12,6.13,6.07,42100.0,511
2017-02-21 10:00,6.13,6.07,6.15,6.05,81517.0,511
