关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
600696,*ST岩石一季度净利润亏损扩大,（记者翟枫瑞）4月29日晚间，上海贵酒股份有限公司（以下简称“*ST岩石”）发布2025年第一季度报告称，公司一季度实现营收,2025-04-29 21:51:46,北京商报,http://finance.eastmoney.com/a/202504293393291170.html
600696,*ST岩石更新人事变动,北京商报讯（记者刘一博冯若男）5月15日，北京商报记者从*ST岩石发布公告中获悉，上海贵酒股份有限公司副董事长陈琪因个人原因辞职,2025-05-15 16:12:33,北京商报,http://finance.eastmoney.com/a/202505153405615867.html
600696,51只股涨停 最大封单资金10.26亿元,*ST岩石 7.363.50116.99861.05食品饮料000595*ST宝实4.962.57150.24745.19,2025-05-22 15:39:09,证券时报网,http://finance.eastmoney.com/a/202505223411913442.html
600696,*ST岩石录得6天3板,*ST岩石再度涨停，6个交易日内录得3个涨停，累计涨幅为8.07%，累计换手率为36.65%。,2025-05-13 10:06:26,证券时报网,http://finance.eastmoney.com/a/202505133402980354.html
600696,*ST岩石一季度营收同比降86.2% 亏损收窄至1933万元,4月29日，*ST岩石600696公布2025年一季报，公司营业收入为1498万元，同比下降86.2%；归母净利润自去年同期亏损,2025-04-30 14:46:52,财中社,http://finance.eastmoney.com/a/202504303394410990.html
600696,*ST岩石录得7天5板,*ST岩石再度涨停，7个交易日内录得5个涨停，累计涨幅为30.36%，累计换手率为26.52%。,2025-05-27 10:12:20,证券时报网,http://finance.eastmoney.com/a/202505273415392443.html
600696,84只股涨停 最大封单资金6.43亿元,*ST岩石 7.011.23208.931464.60食品饮料002630ST华西2.5720.93511.261313.93,2025-05-21 15:41:55,证券时报网,http://finance.eastmoney.com/a/202505213410696612.html
600696,102只股涨停 最大封单资金10.75亿元,*ST岩石6.682.29132.91887.82食品饮料003030祖名股份20.9212.0534.78727.60农林牧渔,2025-05-20 15:36:23,证券时报网,http://finance.eastmoney.com/a/202505203409461023.html
600696,韩氏父子白酒残局 上海贵酒“披星戴帽” 半年涌入超2.21万股东,匹凸”“岩石股份”到“*ST岩石”，第11次更名后，600696的上市公司地位已摇摇欲坠。,2025-04-23 12:29:41,时代财经,http://finance.eastmoney.com/a/202504233385633468.html
600696,*ST岩石连收3个涨停板,*ST岩石盘中涨停，已连收3个涨停板，截至9:30，该股报7.01元，换手率1.14%，成交量380.99万股，成交金额2658.46万元，涨停板封单金额为198.56万元。连续涨停期间，该股累计上涨15.68%，累计换手率为7.97%。最新A股总市值达23.45亿元。4月30日公司发布的一季报数据显示，一季度公司共实现营业总收入0.15亿元，同比下降86.25%，实现净利润-0.19亿元，同比增长1.71%。（数据宝）近日该股表现 日期当日涨跌幅（%）换手率（%）主力资金净流入（万元）2025.05.205.032.29170.782025.05.194.954.532478.382025.05.16-2.263.57-102.442025.05.150.984.87-281.792025.05.14-2.855.50-944.122025.05.133.276.88944.242025.05.122.007.33-1111.752025.05.095.086.72763.362025.05.08-3.878.0364.612025.05.07-4.962.02-1561.45注：本文系新闻报道，不构成投资建议，股市有风险，投资需谨慎。 ,2025-05-21 10:05:30,证券时报网,http://finance.eastmoney.com/a/202505213410473935.html
600696,并购新规松绑 ST板块重组风云引资金热炒,岭南（002717.SZ）、*ST节能（000820.SZ）、*ST岩石（600696.SH）等个股的涨幅超过20%。,2025-05-26 01:21:40,第一财经,http://finance.eastmoney.com/a/202505253413824521.html
600696,*ST岩石连收5个涨停板,*ST岩石盘中涨停，已连收5个涨停板，截至10:44，该股报7.73元，换手率4.92%，成交量1645.35万股，成交金额1.22亿元，涨停板封单金额为1188.56万元。连续涨停期间，该股累计上涨27.56%，累计换手率为16.48%。最新A股总市值达25.85亿元。龙虎榜数据显示，该股因连续三个交易日内，收盘价涨幅偏离值累计达到12%的ST证券、*ST证券上榜龙虎榜1次，买卖居前营业部中，营业部席位合计净买入1500.07万元。4月30日公司发布的一季报数据显示，一季度公司共实现营业总收入0.15亿元，同比下降86.25%，实现净利润-0.19亿元，同比增长1.71%。（数据宝）近日该股表现 日期当日涨跌幅（%）换手率（%）主力资金净流入（万元）2025.05.224.993.50455.762025.05.214.941.23140.932025.05.205.032.29170.782025.05.194.954.532478.382025.05.16-2.263.57-102.442025.05.150.984.87-281.792025.05.14-2.855.50-944.122025.05.133.276.88944.242025.05.122.007.33-1111.752025.05.095.086.72763.36,2025-05-23 11:07:14,证券时报网,http://finance.eastmoney.com/a/202505233412940244.html
600696,韩氏父子白酒残局，上海贵酒“披星戴帽”,匹凸”“岩石股份”到“*ST岩石”，第11次更名后，600696的上市公司地位已摇摇欲坠。,2025-04-24 12:14:18,时代财经,http://finance.eastmoney.com/a/202504243387087392.html
600696,茅台“走进系列”纪念酒时隔六年再上新； *ST岩石收到诉讼变更申请丨酒业早参,NO.2 *ST岩石：买卖合同纠纷一案，收到被告诉讼变更申请6月5日，*ST岩石公告称，关于南通裕盛诉贵州高酱酒业有限公司买卖合同纠纷一案,2025-06-06 09:05:27,每日经济新闻,http://finance.eastmoney.com/a/202506063423617261.html
600696,84只股上午收盘涨停(附股),*ST岩石 6.682.22129.95868.05食品饮料603398*ST沐邦 5.5111.60153.76847.22,2025-05-20 11:45:02,证券时报网,http://finance.eastmoney.com/a/202505203409333961.html
600696,午间涨跌停股分析：72只涨停股、32只跌停股，*ST交投7天6板，*ST星光、*ST岩石连续6日跌停,跌停股方面，*ST星光、*ST岩石连续6日跌停，*ST恒立连续5日跌停，ST宏达、*ST宝鹰连续4日跌停，*ST返利、*ST,2025-04-30 11:48:14,界面新闻,http://finance.eastmoney.com/a/202504303394257388.html
600696,【公告汇总】5月22日上市公司股票异常波动一览,*ST岩石（600696）发布公告，公司股票在2025年5月19日至22日连续四个交易日涨停，且控股股东未披露重大信息。,2025-05-22 20:34:56,财中社,http://finance.eastmoney.com/a/202505223412157585.html
600696,岩石股份披星戴帽落定：三十年来十度更名，暴雷后新增2万多名股东｜酒业财报观察,4月23日起，岩石股份将被正式实施退市风险警示，股票简称变更为*ST岩石，为其三十多年来的频繁更名史再添一笔。,2025-04-22 12:24:06,21世纪经济报道,http://finance.eastmoney.com/a/202504223384188023.html
600696,60只股涨停 最大封单资金4.94亿元,*ST岩石6.006.72109.16654.96食品饮料002168*ST惠程2.652.88204.80542.73电力设备,2025-05-09 23:27:33,证券时报网,http://finance.eastmoney.com/a/202505093400928283.html
600696,87股每笔成交量增长超50%,*ST岩石5.04249547949.68000595*ST宝实-1.17269717717.68002231*ST奥维-,2025-05-06 20:48:04,证券时报网,http://finance.eastmoney.com/a/202505063397065526.html
