===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,TestStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown
11,,11,2019-06-05 14:00:00,75.59023943528734,75.82166764634064,75.26238280296181,75.29131132934349,9604900.0,0.0,TestStrategy,11,737215.5833333334,Broker,11,1000000.0,1000000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,,DrawDown,11,0.0,0.0
12,,12,2019-06-05 15:00:00,75.3009541714707,75.32988269785237,74.69345511745576,74.73202648596465,13165900.0,0.0,TestStrategy,12,737215.625,Broker,12,1000000.0,1000000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,,DrawDown,12,0.0,0.0
13,,13,2019-06-06 10:30:00,74.97309753914517,75.07916880254461,74.30774143236692,74.64524090681965,15327200.0,0.0,TestStrategy,13,737216.4375,Broker,13,1000000.0,1000000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,,DrawDown,13,0.0,0.0
14,,14,2019-06-06 11:30:00,74.67416943320133,74.94416901276351,74.62595522256521,74.90559764425464,7004200.0,0.0,TestStrategy,14,737216.4791666666,Broker,14,1000000.0,1000000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,,DrawDown,14,0.0,0.0
15,,15,2019-06-06 14:00:00,74.88631196000019,74.88631196000019,74.38488416938469,74.51024111703856,6123000.0,0.0,TestStrategy,15,737216.5833333334,Broker,15,1000000.0,1000000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,,DrawDown,15,0.0,0.0
16,,16,2019-06-06 15:00:00,74.51024111703856,74.61631238043799,74.14381311620416,74.35595564300301,13797900.0,0.0,TestStrategy,16,737216.625,Broker,16,1000000.0,1000000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,,DrawDown,16,0.0,0.0
17,,17,2019-06-10 10:30:00,75.01166890765407,76.13023859441172,74.76095501234632,75.9373817518673,28714900.0,0.0,TestStrategy,17,737220.4375,Broker,17,1000000.0,1000000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,,DrawDown,17,0.0,0.0
18,,18,2019-06-10 11:30:00,75.95666743612173,76.36166680546505,75.71559638294121,76.17845280504784,15196600.0,0.0,TestStrategy,18,737220.4791666666,Broker,18,1000000.0,1000000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,,DrawDown,18,0.0,0.0
19,,19,2019-06-10 14:00:00,76.17845280504784,76.54488080588224,75.94702459399453,76.03381017313951,10347500.0,0.0,TestStrategy,19,737220.5833333334,Broker,19,1000000.0,1000000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,,DrawDown,19,0.0,0.0
20,,20,2019-06-10 15:00:00,76.04345301526673,76.3423811212106,75.8891675412312,76.27488122632005,10315800.0,0.0,TestStrategy,20,737220.625,Broker,20,1000000.0,1000000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,,DrawDown,20,0.0,0.0
