date,open,close,high,low,volume,amount,turnoverratio,code
2019-08-22 14:55,3.53,3.54,3.54,3.52,1018.0,{},0.6712,600210
2019-08-22 15:00,3.54,3.53,3.54,3.53,682.0,{},0.4496,600210
2019-08-23 09:35,3.51,3.52,3.53,3.51,804.0,{},0.5301,600210
2019-08-23 09:40,3.52,3.54,3.54,3.51,1578.0,{},1.0404,600210
2019-08-23 09:45,3.54,3.53,3.55,3.53,1688.0,{},1.1129,600210
2019-08-23 09:50,3.53,3.55,3.55,3.53,2142.0,{},1.4122,600210
2019-08-23 09:55,3.55,3.55,3.55,3.54,1152.0,{},0.7595,600210
2019-08-23 10:00,3.55,3.55,3.57,3.55,4251.0,{},2.8027,600210
2019-08-23 10:05,3.55,3.54,3.56,3.54,2460.0,{},1.6219,600210
2019-08-23 10:10,3.54,3.54,3.55,3.53,2233.0,{},1.4722,600210
2019-08-23 10:15,3.54,3.54,3.55,3.54,287.0,{},0.1892,600210
2019-08-23 10:20,3.54,3.54,3.55,3.53,1282.0,{},0.8452,600210
2019-08-23 10:25,3.54,3.53,3.54,3.53,1238.0,{},0.8162,600210
2019-08-23 10:30,3.53,3.53,3.54,3.53,445.0,{},0.2934,600210
2019-08-23 10:35,3.53,3.53,3.54,3.53,342.0,{},0.2255,600210
2019-08-23 10:40,3.53,3.54,3.55,3.53,977.0,{},0.6441,600210
2019-08-23 10:45,3.54,3.55,3.55,3.54,1301.0,{},0.8578,600210
2019-08-23 10:50,3.55,3.55,3.55,3.54,1089.0,{},0.7180,600210
2019-08-23 10:55,3.55,3.55,3.55,3.54,282.0,{},0.1859,600210
2019-08-23 11:00,3.55,3.54,3.55,3.54,310.0,{},0.2044,600210
2019-08-23 11:05,3.54,3.55,3.56,3.54,1146.0,{},0.7556,600210
2019-08-23 11:10,3.55,3.56,3.56,3.55,173.0,{},0.1141,600210
2019-08-23 11:15,3.56,3.55,3.56,3.55,686.0,{},0.4523,600210
2019-08-23 11:20,3.55,3.54,3.55,3.54,1833.0,{},1.2085,600210
2019-08-23 11:25,3.54,3.55,3.55,3.54,579.0,{},0.3817,600210
2019-08-23 11:30,3.55,3.55,3.55,3.54,159.0,{},0.1048,600210
2019-08-23 13:05,3.55,3.54,3.55,3.54,286.0,{},0.1886,600210
2019-08-23 13:10,3.54,3.54,3.55,3.54,268.0,{},0.1767,600210
2019-08-23 13:15,3.54,3.55,3.55,3.54,1390.0,{},0.9164,600210
2019-08-23 13:20,3.55,3.54,3.55,3.54,1908.0,{},1.2580,600210
2019-08-23 13:25,3.54,3.54,3.54,3.53,190.0,{},0.1253,600210
2019-08-23 13:30,3.54,3.53,3.54,3.53,51.0,{},0.0336,600210
2019-08-23 13:35,3.53,3.53,3.54,3.53,1172.0,{},0.7727,600210
2019-08-23 13:40,3.53,3.53,3.54,3.53,395.0,{},0.2604,600210
2019-08-23 13:45,3.53,3.53,3.54,3.53,1362.0,{},0.8980,600210
2019-08-23 13:50,3.53,3.52,3.53,3.52,817.0,{},0.5387,600210
2019-08-23 13:55,3.52,3.52,3.52,3.52,1313.0,{},0.8657,600210
2019-08-23 14:00,3.52,3.53,3.53,3.52,287.0,{},0.1892,600210
2019-08-23 14:05,3.53,3.53,3.54,3.53,2067.0,{},1.3628,600210
2019-08-23 14:10,3.53,3.53,3.54,3.53,151.0,{},0.0996,600210
2019-08-23 14:15,3.53,3.54,3.54,3.53,243.0,{},0.1602,600210
2019-08-23 14:20,3.54,3.54,3.54,3.53,81.0,{},0.0534,600210
2019-08-23 14:25,3.54,3.54,3.54,3.54,507.0,{},0.3343,600210
2019-08-23 14:30,3.54,3.53,3.54,3.53,22.0,{},0.0145,600210
2019-08-23 14:35,3.53,3.54,3.54,3.53,153.0,{},0.1009,600210
2019-08-23 14:40,3.54,3.54,3.54,3.53,120.0,{},0.0791,600210
2019-08-23 14:45,3.54,3.54,3.54,3.53,253.0,{},0.1668,600210
2019-08-23 14:50,3.54,3.52,3.54,3.52,3109.0,{},2.0498,600210
2019-08-23 14:55,3.52,3.53,3.53,3.52,2145.0,{},1.4142,600210
2019-08-23 15:00,3.53,3.53,3.53,3.52,252.0,{},0.1661,600210
2019-08-26 09:35,3.47,3.47,3.47,3.44,7627.0,{},5.0286,600210
2019-08-26 09:40,3.47,3.48,3.48,3.46,814.0,{},0.5367,600210
2019-08-26 09:45,3.48,3.49,3.49,3.47,2407.0,{},1.5870,600210
2019-08-26 09:50,3.49,3.49,3.49,3.48,1102.0,{},0.7266,600210
2019-08-26 09:55,3.49,3.49,3.49,3.48,2074.0,{},1.3674,600210
2019-08-26 10:00,3.48,3.49,3.49,3.48,312.0,{},0.2057,600210
2019-08-26 10:05,3.49,3.49,3.49,3.48,1128.0,{},0.7437,600210
2019-08-26 10:10,3.49,3.47,3.49,3.46,3863.0,{},2.5469,600210
2019-08-26 10:15,3.47,3.47,3.47,3.46,1451.0,{},0.9567,600210
2019-08-26 10:20,3.47,3.47,3.47,3.46,1056.0,{},0.6962,600210
2019-08-26 10:25,3.47,3.48,3.48,3.47,331.0,{},0.2182,600210
2019-08-26 10:30,3.48,3.48,3.48,3.47,297.0,{},0.1958,600210
2019-08-26 10:35,3.48,3.48,3.48,3.47,641.0,{},0.4226,600210
2019-08-26 10:40,3.48,3.47,3.48,3.47,209.0,{},0.1378,600210
2019-08-26 10:45,3.47,3.47,3.48,3.47,589.0,{},0.3883,600210
2019-08-26 10:50,3.47,3.48,3.48,3.47,954.0,{},0.6290,600210
2019-08-26 10:55,3.48,3.47,3.48,3.47,282.0,{},0.1859,600210
2019-08-26 11:00,3.47,3.47,3.48,3.47,215.0,{},0.1418,600210
2019-08-26 11:05,3.47,3.47,3.48,3.46,5451.0,{},3.5939,600210
2019-08-26 11:10,3.47,3.47,3.48,3.47,266.0,{},0.1754,600210
2019-08-26 11:15,3.47,3.48,3.48,3.47,234.0,{},0.1543,600210
2019-08-26 11:20,3.48,3.48,3.48,3.48,69.0,{},0.0455,600210
2019-08-26 11:25,3.48,3.49,3.49,3.48,2505.0,{},1.6516,600210
2019-08-26 11:30,3.49,3.49,3.49,3.48,809.0,{},0.5334,600210
2019-08-26 13:05,3.49,3.49,3.49,3.48,1138.0,{},0.7503,600210
2019-08-26 13:10,3.49,3.48,3.49,3.48,11.0,{},0.0073,600210
2019-08-26 13:15,3.48,3.49,3.49,3.48,1010.0,{},0.6659,600210
2019-08-26 13:20,3.49,3.48,3.49,3.48,67.0,{},0.0442,600210
2019-08-26 13:25,3.48,3.49,3.49,3.48,267.0,{},0.1760,600210
2019-08-26 13:30,3.48,3.48,3.48,3.47,300.0,{},0.1978,600210
2019-08-26 13:35,3.48,3.47,3.48,3.47,1684.0,{},1.1103,600210
2019-08-26 13:40,3.47,3.48,3.48,3.47,401.0,{},0.2644,600210
2019-08-26 13:45,3.48,3.47,3.48,3.47,762.0,{},0.5024,600210
2019-08-26 13:50,3.47,3.47,3.47,3.46,897.0,{},0.5914,600210
2019-08-26 13:55,3.47,3.47,3.47,3.46,314.0,{},0.2070,600210
2019-08-26 14:00,3.47,3.47,3.47,3.46,2034.0,{},1.3410,600210
2019-08-26 14:05,3.47,3.47,3.47,3.46,783.0,{},0.5162,600210
2019-08-26 14:10,3.47,3.47,3.47,3.46,227.0,{},0.1497,600210
2019-08-26 14:15,3.46,3.45,3.47,3.45,1216.0,{},0.8017,600210
2019-08-26 14:20,3.45,3.46,3.46,3.45,200.0,{},0.1319,600210
2019-08-26 14:25,3.46,3.47,3.47,3.45,2404.0,{},1.5850,600210
2019-08-26 14:30,3.47,3.46,3.47,3.46,1120.0,{},0.7384,600210
2019-08-26 14:35,3.46,3.48,3.48,3.46,2735.0,{},1.8032,600210
2019-08-26 14:40,3.48,3.48,3.48,3.47,773.0,{},0.5096,600210
2019-08-26 14:45,3.48,3.47,3.48,3.46,2067.0,{},1.3628,600210
2019-08-26 14:50,3.47,3.47,3.48,3.47,466.0,{},0.3072,600210
2019-08-26 14:55,3.47,3.48,3.48,3.47,170.0,{},0.1121,600210
2019-08-26 15:00,3.48,3.47,3.48,3.47,247.0,{},0.1628,600210
2019-08-27 09:35,3.47,3.49,3.5,3.47,2361.0,{},1.5566,600210
2019-08-27 09:40,3.49,3.51,3.52,3.49,2144.0,{},1.4136,600210
2019-08-27 09:45,3.51,3.51,3.52,3.5,1372.0,{},0.9046,600210
2019-08-27 09:50,3.51,3.53,3.53,3.51,2834.0,{},1.8685,600210
2019-08-27 09:55,3.53,3.54,3.55,3.53,4745.0,{},3.1284,600210
2019-08-27 10:00,3.54,3.54,3.54,3.52,2270.0,{},1.4966,600210
2019-08-27 10:05,3.54,3.53,3.54,3.52,1343.0,{},0.8855,600210
2019-08-27 10:10,3.53,3.53,3.54,3.52,1115.0,{},0.7351,600210
2019-08-27 10:15,3.53,3.53,3.54,3.53,846.0,{},0.5578,600210
2019-08-27 10:20,3.53,3.53,3.54,3.52,739.0,{},0.4872,600210
2019-08-27 10:25,3.53,3.55,3.56,3.53,4832.0,{},3.1858,600210
2019-08-27 10:30,3.55,3.55,3.56,3.55,1543.0,{},1.0173,600210
2019-08-27 10:35,3.55,3.56,3.56,3.55,1345.0,{},0.8868,600210
2019-08-27 10:40,3.56,3.55,3.56,3.55,737.0,{},0.4859,600210
2019-08-27 10:45,3.55,3.55,3.56,3.55,1196.0,{},0.7885,600210
2019-08-27 10:50,3.55,3.55,3.56,3.54,1071.0,{},0.7061,600210
2019-08-27 10:55,3.55,3.55,3.55,3.54,417.0,{},0.2749,600210
2019-08-27 11:00,3.55,3.55,3.55,3.54,669.0,{},0.4411,600210
2019-08-27 11:05,3.55,3.54,3.55,3.54,1032.0,{},0.6804,600210
2019-08-27 11:10,3.54,3.54,3.55,3.54,1671.0,{},1.1017,600210
2019-08-27 11:15,3.54,3.56,3.56,3.54,2605.0,{},1.7175,600210
2019-08-27 11:20,3.56,3.55,3.56,3.55,1311.0,{},0.8644,600210
2019-08-27 11:25,3.55,3.54,3.55,3.54,512.0,{},0.3376,600210
2019-08-27 11:30,3.54,3.53,3.54,3.53,276.0,{},0.1820,600210
2019-08-27 13:05,3.53,3.54,3.55,3.53,938.0,{},0.6184,600210
2019-08-27 13:10,3.54,3.54,3.55,3.53,618.0,{},0.4075,600210
2019-08-27 13:15,3.54,3.54,3.54,3.53,306.0,{},0.2017,600210
2019-08-27 13:20,3.54,3.54,3.54,3.53,389.0,{},0.2565,600210
2019-08-27 13:25,3.54,3.53,3.54,3.53,487.0,{},0.3211,600210
2019-08-27 13:30,3.53,3.53,3.54,3.53,1662.0,{},1.0958,600210
2019-08-27 13:35,3.53,3.53,3.54,3.53,813.0,{},0.5360,600210
2019-08-27 13:40,3.53,3.53,3.53,3.52,1550.0,{},1.0219,600210
2019-08-27 13:45,3.53,3.52,3.53,3.52,469.0,{},0.3092,600210
2019-08-27 13:50,3.52,3.52,3.53,3.52,437.0,{},0.2881,600210
2019-08-27 13:55,3.52,3.52,3.53,3.52,225.0,{},0.1483,600210
2019-08-27 14:00,3.52,3.53,3.53,3.52,212.0,{},0.1398,600210
2019-08-27 14:05,3.53,3.53,3.53,3.52,503.0,{},0.3316,600210
2019-08-27 14:10,3.53,3.53,3.53,3.52,275.0,{},0.1813,600210
2019-08-27 14:15,3.53,3.52,3.53,3.52,372.0,{},0.2453,600210
2019-08-27 14:20,3.52,3.53,3.53,3.52,422.0,{},0.2782,600210
2019-08-27 14:25,3.53,3.53,3.53,3.52,1029.0,{},0.6784,600210
2019-08-27 14:30,3.53,3.52,3.53,3.52,262.0,{},0.1727,600210
2019-08-27 14:35,3.52,3.53,3.53,3.52,1589.0,{},1.0476,600210
2019-08-27 14:40,3.53,3.52,3.53,3.52,336.0,{},0.2215,600210
2019-08-27 14:45,3.52,3.52,3.53,3.52,1194.0,{},0.7872,600210
2019-08-27 14:50,3.52,3.52,3.53,3.52,590.0,{},0.3890,600210
2019-08-27 14:55,3.52,3.54,3.54,3.52,1667.0,{},1.0991,600210
2019-08-27 15:00,3.54,3.54,3.54,3.53,1040.0,{},0.6857,600210
2019-08-28 09:35,3.54,3.54,3.55,3.53,768.0,{},0.5064,600210
2019-08-28 09:40,3.54,3.54,3.54,3.53,1068.0,{},0.7041,600210
2019-08-28 09:45,3.54,3.54,3.54,3.53,2492.0,{},1.6430,600210
2019-08-28 09:50,3.54,3.55,3.55,3.54,574.0,{},0.3784,600210
2019-08-28 09:55,3.55,3.54,3.55,3.53,914.0,{},0.6026,600210
2019-08-28 10:00,3.54,3.54,3.54,3.53,802.0,{},0.5288,600210
2019-08-28 10:05,3.54,3.55,3.55,3.54,716.0,{},0.4721,600210
2019-08-28 10:10,3.55,3.53,3.55,3.53,860.0,{},0.5670,600210
2019-08-28 10:15,3.53,3.53,3.54,3.52,2449.0,{},1.6147,600210
2019-08-28 10:20,3.53,3.53,3.54,3.52,707.0,{},0.4661,600210
2019-08-28 10:25,3.53,3.53,3.53,3.52,575.0,{},0.3791,600210
2019-08-28 10:30,3.53,3.52,3.54,3.52,1528.0,{},1.0074,600210
2019-08-28 10:35,3.52,3.53,3.54,3.52,432.0,{},0.2848,600210
2019-08-28 10:40,3.53,3.53,3.54,3.53,394.0,{},0.2598,600210
2019-08-28 10:45,3.53,3.53,3.54,3.53,197.0,{},0.1299,600210
2019-08-28 10:50,3.53,3.54,3.54,3.53,357.0,{},0.2354,600210
2019-08-28 10:55,3.54,3.54,3.54,3.53,598.0,{},0.3943,600210
2019-08-28 11:00,3.54,3.54,3.54,3.53,130.0,{},0.0857,600210
2019-08-28 11:05,3.54,3.53,3.54,3.53,547.0,{},0.3606,600210
2019-08-28 11:10,3.53,3.54,3.54,3.53,326.0,{},0.2149,600210
2019-08-28 11:15,3.54,3.53,3.54,3.53,193.0,{},0.1272,600210
2019-08-28 11:20,3.53,3.53,3.54,3.52,490.0,{},0.3231,600210
2019-08-28 11:25,3.53,3.54,3.54,3.52,415.0,{},0.2736,600210
