date,open,close,high,low,volume,amount,turnoverratio,code
2019-08-09 14:55,5.9,5.9,5.91,5.89,2030.0,{},3.5621,000529
2019-08-09 15:00,5.9,5.91,5.91,5.89,1173.0,{},2.0583,000529
2019-08-12 09:35,5.92,5.96,5.98,5.9,2523.0,{},4.4272,000529
2019-08-12 09:40,5.96,5.94,5.97,5.94,1595.0,{},2.7988,000529
2019-08-12 09:45,5.94,5.92,5.94,5.92,727.0,{},1.2757,000529
2019-08-12 09:50,5.92,5.92,5.94,5.92,356.0,{},0.6247,000529
2019-08-12 09:55,5.92,5.94,5.94,5.91,1767.0,{},3.1006,000529
2019-08-12 10:00,5.94,5.99,5.99,5.94,1653.0,{},2.9006,000529
2019-08-12 10:05,5.99,6.02,6.04,5.99,2151.0,{},3.7744,000529
2019-08-12 10:10,6.02,6.01,6.04,6.01,1477.0,{},2.5918,000529
2019-08-12 10:15,6.02,6.05,6.08,6.01,2729.0,{},4.7887,000529
2019-08-12 10:20,6.05,6.04,6.06,6.04,763.0,{},1.3389,000529
2019-08-12 10:25,6.04,6.02,6.04,6.0,1640.0,{},2.8778,000529
2019-08-12 10:30,6.02,6.02,6.05,6.0,872.0,{},1.5301,000529
2019-08-12 10:35,6.02,6.04,6.04,6.01,600.0,{},1.0528,000529
2019-08-12 10:40,6.04,6.02,6.04,6.02,218.0,{},0.3825,000529
2019-08-12 10:45,6.02,6.02,6.03,6.01,347.0,{},0.6089,000529
2019-08-12 10:50,6.02,6.01,6.02,6.01,249.0,{},0.4369,000529
2019-08-12 10:55,6.01,6.01,6.02,6.01,263.0,{},0.4615,000529
2019-08-12 11:00,6.01,6.02,6.02,6.01,178.0,{},0.3123,000529
2019-08-12 11:05,6.02,6.03,6.03,6.02,238.0,{},0.4176,000529
2019-08-12 11:10,6.03,6.02,6.03,6.02,329.0,{},0.5773,000529
2019-08-12 11:15,6.02,6.02,6.03,6.01,578.0,{},1.0142,000529
2019-08-12 11:20,6.02,6.07,6.07,6.02,2165.0,{},3.7990,000529
2019-08-12 11:25,6.07,6.06,6.08,6.06,1353.0,{},2.3742,000529
2019-08-12 11:30,6.06,6.06,6.07,6.06,323.0,{},0.5668,000529
2019-08-12 13:05,6.06,6.04,6.08,6.04,611.0,{},1.0721,000529
2019-08-12 13:10,6.04,6.03,6.04,6.02,237.0,{},0.4159,000529
2019-08-12 13:15,6.03,6.0,6.03,6.0,1086.0,{},1.9056,000529
2019-08-12 13:20,6.0,6.0,6.01,5.99,539.0,{},0.9458,000529
2019-08-12 13:25,6.0,6.01,6.01,5.99,173.0,{},0.3036,000529
2019-08-12 13:30,6.01,6.01,6.01,6.0,145.0,{},0.2544,000529
2019-08-12 13:35,6.01,6.0,6.01,5.99,334.0,{},0.5861,000529
2019-08-12 13:40,6.0,6.01,6.01,5.99,255.0,{},0.4475,000529
2019-08-12 13:45,6.01,5.98,6.01,5.97,1147.0,{},2.0127,000529
2019-08-12 13:50,5.98,6.0,6.0,5.98,502.0,{},0.8809,000529
