date,open,close,high,low,volume,code
2018-04-17 14:55,6.77,6.77,6.77,6.76,979.0,600870
2018-04-17 15:00,6.77,6.75,6.77,6.74,1851.0,600870
2018-04-18 09:35,6.97,6.79,6.97,6.78,4332.0,600870
2018-04-18 09:40,6.79,6.76,6.79,6.76,2202.0,600870
2018-04-18 09:45,6.76,6.79,6.8,6.76,546.0,600870
2018-04-18 09:50,6.79,6.76,6.79,6.76,801.0,600870
2018-04-18 09:55,6.76,6.66,6.76,6.66,1129.0,600870
2018-04-18 10:00,6.67,6.76,6.76,6.67,652.0,600870
2018-04-18 10:05,6.76,6.73,6.77,6.72,350.0,600870
2018-04-18 10:10,6.73,6.73,6.76,6.71,372.0,600870
2018-04-18 10:15,6.73,6.72,6.73,6.71,200.0,600870
2018-04-18 10:20,6.72,6.73,6.73,6.72,195.0,600870
2018-04-18 10:25,6.73,6.72,6.73,6.71,63.0,600870
2018-04-18 10:30,6.71,6.71,6.72,6.71,127.0,600870
2018-04-18 10:35,6.71,6.7,6.71,6.7,780.0,600870
2018-04-18 10:40,6.7,6.7,6.7,6.7,102.0,600870
2018-04-18 10:45,6.7,6.69,6.7,6.68,462.0,600870
2018-04-18 10:50,6.69,6.68,6.69,6.68,152.0,600870
2018-04-18 10:55,6.68,6.68,6.69,6.68,48.0,600870
2018-04-18 11:00,6.68,6.66,6.68,6.64,2001.0,600870
2018-04-18 11:05,6.66,6.66,6.67,6.66,238.0,600870
2018-04-18 11:10,6.66,6.67,6.67,6.66,314.0,600870
2018-04-18 11:15,6.67,6.66,6.67,6.65,454.0,600870
2018-04-18 11:20,6.66,6.66,6.66,6.65,115.0,600870
2018-04-18 11:25,6.66,6.66,6.66,6.66,104.0,600870
2018-04-18 11:30,6.66,6.66,6.66,6.65,96.0,600870
2018-04-18 13:05,6.66,6.65,6.66,6.65,957.0,600870
2018-04-18 13:10,6.65,6.64,6.65,6.63,636.0,600870
2018-04-18 13:15,6.64,6.65,6.65,6.64,585.0,600870
2018-04-18 13:20,6.65,6.66,6.66,6.65,703.0,600870
2018-04-18 13:25,6.66,6.66,6.67,6.65,632.0,600870
2018-04-18 13:30,6.66,6.66,6.67,6.65,116.0,600870
2018-04-18 13:35,6.66,6.67,6.67,6.66,599.0,600870
2018-04-18 13:40,6.67,6.65,6.67,6.65,2179.0,600870
2018-04-18 13:45,6.65,6.71,6.71,6.65,182.0,600870
2018-04-18 13:50,6.71,6.71,6.71,6.7,285.0,600870
2018-04-18 13:55,6.71,6.7,6.71,6.69,257.0,600870
2018-04-18 14:00,6.7,6.69,6.7,6.69,105.0,600870
2018-04-18 14:05,6.69,6.7,6.7,6.69,562.0,600870
2018-04-18 14:10,6.7,6.68,6.7,6.65,2371.0,600870
2018-04-18 14:15,6.68,6.67,6.68,6.67,108.0,600870
2018-04-18 14:20,6.67,6.67,6.67,6.66,126.0,600870
2018-04-18 14:25,6.67,6.67,6.67,6.66,685.0,600870
2018-04-18 14:30,6.67,6.66,6.68,6.65,543.0,600870
2018-04-18 14:35,6.66,6.63,6.66,6.63,1860.0,600870
2018-04-18 14:40,6.63,6.69,6.69,6.61,8273.0,600870
2018-04-18 14:45,6.69,6.78,6.78,6.68,11269.0,600870
2018-04-18 14:50,6.77,6.76,6.78,6.76,1514.0,600870
2018-04-18 14:55,6.76,6.77,6.77,6.76,2402.0,600870
2018-04-18 15:00,6.77,6.71,6.77,6.7,3405.0,600870
2018-04-19 09:35,6.73,6.66,6.73,6.65,2505.0,600870
2018-04-19 09:40,6.66,6.66,6.66,6.65,1267.0,600870
2018-04-19 09:45,6.66,6.66,6.66,6.65,911.0,600870
2018-04-19 09:50,6.66,6.66,6.66,6.65,849.0,600870
2018-04-19 09:55,6.66,6.66,6.67,6.66,146.0,600870
2018-04-19 10:00,6.66,6.66,6.67,6.65,743.0,600870
2018-04-19 10:05,6.66,6.65,6.66,6.64,866.0,600870
2018-04-19 10:10,6.65,6.63,6.65,6.62,1038.0,600870
2018-04-19 10:15,6.63,6.67,6.67,6.59,4318.0,600870
2018-04-19 10:20,6.67,6.71,6.72,6.61,11114.0,600870
2018-04-19 10:25,6.71,6.78,6.81,6.71,4421.0,600870
2018-04-19 10:30,6.78,6.73,6.78,6.73,1528.0,600870
2018-04-19 10:35,6.73,6.72,6.73,6.72,213.0,600870
2018-04-19 10:40,6.72,6.74,6.74,6.72,541.0,600870
2018-04-19 10:45,6.74,6.72,6.74,6.72,93.0,600870
2018-04-19 10:50,6.72,6.71,6.74,6.71,506.0,600870
2018-04-19 10:55,6.71,6.7,6.71,6.7,368.0,600870
2018-04-19 11:00,6.7,6.7,6.71,6.7,199.0,600870
2018-04-19 11:05,6.7,6.7,6.72,6.7,718.0,600870
2018-04-19 11:10,6.7,6.7,6.72,6.7,78.0,600870
2018-04-19 11:15,6.7,6.7,6.7,6.7,41.0,600870
2018-04-19 11:20,6.7,6.7,6.7,6.7,76.0,600870
2018-04-19 11:25,6.7,6.7,6.7,6.7,21.0,600870
2018-04-19 11:30,6.7,6.71,6.71,6.7,39.0,600870
2018-04-19 13:05,6.72,6.73,6.73,6.72,244.0,600870
2018-04-19 13:10,6.73,6.7,6.73,6.7,364.0,600870
2018-04-19 13:15,6.7,6.69,6.7,6.68,599.0,600870
2018-04-19 13:20,6.68,6.68,6.69,6.68,427.0,600870
2018-04-19 13:25,6.68,6.7,6.7,6.68,170.0,600870
2018-04-19 13:30,6.7,6.7,6.7,6.69,145.0,600870
2018-04-19 13:35,6.7,6.7,6.7,6.69,244.0,600870
2018-04-19 13:40,6.7,6.7,6.7,6.69,257.0,600870
2018-04-19 13:45,6.7,6.68,6.7,6.68,535.0,600870
2018-04-19 13:50,6.68,6.69,6.69,6.68,203.0,600870
2018-04-19 13:55,6.69,6.68,6.69,6.68,179.0,600870
2018-04-19 14:00,6.68,6.68,6.69,6.68,815.0,600870
2018-04-19 14:05,6.68,6.68,6.68,6.67,366.0,600870
2018-04-19 14:10,6.68,6.68,6.69,6.68,98.0,600870
2018-04-19 14:15,6.68,6.68,6.69,6.67,1006.0,600870
2018-04-19 14:20,6.68,6.66,6.68,6.66,468.0,600870
2018-04-19 14:25,6.66,6.68,6.68,6.66,337.0,600870
2018-04-19 14:30,6.68,6.65,6.68,6.65,622.0,600870
2018-04-19 14:35,6.65,6.65,6.65,6.64,564.0,600870
2018-04-19 14:40,6.67,6.66,6.67,6.66,242.0,600870
2018-04-19 14:45,6.66,6.66,6.67,6.65,674.0,600870
2018-04-19 14:50,6.66,6.63,6.67,6.61,3515.0,600870
2018-04-19 14:55,6.63,6.63,6.67,6.61,2126.0,600870
2018-04-19 15:00,6.63,6.58,6.63,6.56,3240.0,600870
2018-04-20 09:35,6.4,6.76,6.76,6.4,11194.0,600870
2018-04-20 09:40,6.76,6.73,6.77,6.7,2265.0,600870
2018-04-20 09:45,6.73,6.67,6.73,6.66,3237.0,600870
2018-04-20 09:50,6.67,6.67,6.68,6.66,335.0,600870
2018-04-20 09:55,6.66,6.66,6.67,6.66,1060.0,600870
2018-04-20 10:00,6.66,6.66,6.67,6.65,170.0,600870
2018-04-20 10:05,6.66,6.62,6.66,6.62,759.0,600870
2018-04-20 10:10,6.62,6.59,6.62,6.59,1179.0,600870
2018-04-20 10:15,6.59,6.6,6.6,6.58,376.0,600870
2018-04-20 10:20,6.6,6.63,6.63,6.6,325.0,600870
2018-04-20 10:25,6.63,6.62,6.63,6.61,182.0,600870
2018-04-20 10:30,6.62,6.6,6.63,6.59,2092.0,600870
2018-04-20 10:35,6.6,6.6,6.6,6.59,2047.0,600870
2018-04-20 10:40,6.59,6.59,6.6,6.59,76.0,600870
2018-04-20 10:45,6.59,6.58,6.59,6.58,141.0,600870
2018-04-20 10:50,6.58,6.56,6.58,6.56,264.0,600870
2018-04-20 10:55,6.56,6.57,6.57,6.56,233.0,600870
2018-04-20 11:00,6.57,6.55,6.57,6.55,296.0,600870
2018-04-20 11:05,6.55,6.5,6.55,6.48,1931.0,600870
2018-04-20 11:10,6.5,6.5,6.5,6.49,465.0,600870
2018-04-20 11:15,6.5,6.53,6.54,6.5,47.0,600870
2018-04-20 11:20,6.53,6.52,6.53,6.52,71.0,600870
2018-04-20 11:25,6.52,6.52,6.52,6.51,40.0,600870
2018-04-20 11:30,6.52,6.46,6.52,6.46,859.0,600870
2018-04-20 13:05,6.46,6.48,6.48,6.42,727.0,600870
2018-04-20 13:10,6.48,6.48,6.48,6.46,194.0,600870
2018-04-20 13:15,6.48,6.45,6.48,6.4,1870.0,600870
2018-04-20 13:20,6.45,6.41,6.45,6.41,693.0,600870
2018-04-20 13:25,6.41,6.42,6.42,6.41,646.0,600870
2018-04-20 13:30,6.42,6.41,6.42,6.41,601.0,600870
2018-04-20 13:35,6.41,6.44,6.44,6.41,381.0,600870
2018-04-20 13:40,6.44,6.47,6.47,6.44,365.0,600870
2018-04-20 13:45,6.47,6.44,6.47,6.44,221.0,600870
2018-04-20 13:50,6.44,6.45,6.45,6.44,161.0,600870
2018-04-20 13:55,6.45,6.46,6.47,6.45,254.0,600870
2018-04-20 14:00,6.46,6.44,6.46,6.44,398.0,600870
2018-04-20 14:05,6.44,6.44,6.44,6.43,545.0,600870
2018-04-20 14:10,6.44,6.45,6.45,6.44,87.0,600870
2018-04-20 14:15,6.45,6.44,6.45,6.43,141.0,600870
2018-04-20 14:20,6.43,6.4,6.43,6.39,2394.0,600870
2018-04-20 14:25,6.4,6.4,6.4,6.39,3087.0,600870
2018-04-20 14:30,6.4,6.4,6.4,6.39,3909.0,600870
2018-04-20 14:35,6.4,6.46,6.46,6.4,6164.0,600870
2018-04-20 14:40,6.45,6.45,6.45,6.43,4561.0,600870
2018-04-20 14:45,6.45,6.45,6.45,6.43,787.0,600870
2018-04-20 14:50,6.45,6.39,6.45,6.39,885.0,600870
2018-04-20 14:55,6.39,6.61,6.61,6.39,14504.0,600870
2018-04-20 15:00,6.61,6.6,6.66,6.57,3738.0,600870
2018-04-23 09:35,6.3,6.29,6.3,6.2,3584.0,600870
2018-04-23 09:40,6.29,6.3,6.3,6.25,901.0,600870
